編號,案類,發生日期,發生時段,發生地點
2320,自行車竊盜,1100723,08~10,臺北市大安區龍圖里信義路3段121~150號
2321,自行車竊盜,1100724,20~22,臺北市大安區龍淵里辛亥路2段211~240號
2322,自行車竊盜,1100725,02~04,臺北市大安區龍圖里建國南路2段31~60號
2323,自行車竊盜,1100726,08~10,臺北市大安區古莊里和平東路1段151~180號
2324,自行車竊盜,1100726,08~10,臺北市萬華區開封街2段31~60號
2325,自行車竊盜,1100727,08~10,臺北市萬華區康定路211~240號
2326,自行車竊盜,1100728,20~22,臺北市南港區市民大道8段與研究院路1段路口(捷運南港展覽館旁)
2327,自行車竊盜,1100730,02~04,臺北市中山區長春路211~240號
2328,自行車竊盜,1100730,17~19,臺北市士林區舊佳里中正路212巷6弄1~30號
2329,自行車竊盜,1100731,08~10,臺北市文山區興邦里興隆路2段121~150號
2330,自行車竊盜,1100801,11~13,臺北市大安區錦華里6鄰潮州街61~90號
2331,自行車竊盜,1100801,23~01,臺北市松山區民權東路5段1~30號
2332,自行車竊盜,1100802,08~10,臺北市北投區立農里吉利街123巷1~30號
2333,自行車竊盜,1100804,17~19,臺北市大安區芳和里基隆路2段291巷
2334,自行車竊盜,1100808,20~22,臺北市大安區民炤里信義路3段31巷1~30號
2335,自行車竊盜,1100809,08~10,臺北市大安區古莊里羅斯福路2段91~120號
2336,自行車竊盜,1100810,08~10,臺北市南港區新富里南港路1段61~90號
2337,自行車竊盜,1100811,08~10,臺北市士林區延平北路5段241~270號
2338,自行車竊盜,1100811,02~04,臺北市大安區龍生里和平東路1段175巷1~30號
2339,自行車竊盜,1100812,14~16,臺北市萬華區中華路2段130巷31~60號
2340,自行車竊盜,1100814,05~07,臺北市中山區中山北路2段1~30號
2341,自行車竊盜,1100815,20~22,臺北市萬華區廣州街與康定路
2342,自行車竊盜,1100815,23~01,臺北市北投區桃源里中央北路3段1~30號
2343,自行車竊盜,1100816,02~04,臺北市萬華區大理街31~60號
2344,自行車竊盜,1100817,14~16,臺北市文山區木柵路4段121~150號
